시도별,시점,합계_면적,합계_생산량,사과_면적,사과_10a생산량,사과_생산량,배_면적,배_10a생산량,배_생산량,복숭아_면적,복숭아_10a생산량,복숭아_생산량,포도_면적,포도_10a생산량,포도_생산량,감귤_면적,감귤_10a생산량,감귤_생산량,감_면적,감_10a생산량,감_생산량,단감_면적,단감_10a생산량,단감_생산량,떫은감_면적,떫은감_10a생산량,떫은감_생산량,자두_면적,자두_10a생산량,자두_생산량,매실_면적,매실_10a생산량,매실_생산량,기타_면적,기타_10a생산량,기타_생산량
서울특별시,2002,87.0,1951.0,0.0,0.0,0.0,78.0,2408.0,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900.0,9.0,0.0,0.0,0.0,1.0,900.0,9.0,0.0,0.0,0.0,,,,8.0,800.0,64.0
서울특별시,2003,94.0,1878.0,0.0,0.0,0.0,78.0,2240.0,1747.0,0.0,0.0,0.0,7.0,1414.0,99.0,0.0,0.0,0.0,1.0,1000.0,10.0,0.0,0.0,0.0,1.0,1000.0,10.0,0.0,0.0,0.0,,,,8.0,275.0,22.0
서울특별시,2004,88.0,1834.0,0.0,0.0,0.0,68.0,2407.0,1637.0,0.0,0.0,0.0,7.0,1720.0,120.0,0.0,0.0,0.0,1.0,700.0,7.0,0.0,0.0,0.0,1.0,653.0,7.0,0.0,0.0,0.0,,,,12.0,583.33333,70.0
서울특별시,2005,67.0,1732.0,0.0,0.0,0.0,54.0,2959.0,1598.0,0.0,0.0,0.0,7.0,1714.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,233.33333,14.0
서울특별시,2006,56.0,1214.0,0.0,0.0,0.0,45.0,2404.79061,1082.0,0.0,0.0,0.0,8.0,1652.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,0.0
서울특별시,2007,56.0,1154.0,1.0,0.0,0.0,39.0,2456.0,958.0,0.0,0.0,0.0,6.0,2278.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,798.0,8.0,,,,9.0,566.66667,51.0
서울특별시,2008,58.0,1143.0,1.0,0.0,0.0,41.0,2565.0,1052.0,0.0,0.0,0.0,3.0,1773.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,316.66667,38.0
서울특별시,2009,74.0,1065.0,0.0,0.0,0.0,41.0,2377.0,974.0,0.0,0.0,0.0,5.0,1020.0,51.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,24.0,167.0,40.0
서울특별시,2010,31.0,71.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,1175.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22.0,109.0,24.0
서울특별시,2011,23.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1550.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,12.0,108.0,13.0
